orig_utt_id,aug_utt_id,spk_id,gender,condition,cos_clean_aug,embedding_drift
BAC009S0166W0342,BAC009S0166W0342_noise10,S0166,1,noise_snr10,0.7760374546051025,0.22396254539489746
BAC009S0166W0342,BAC009S0166W0342_ch8k,S0166,1,channel_8k,0.5871891379356384,0.4128108620643616
BAC009S0166W0381,BAC009S0166W0381_noise10,S0166,1,noise_snr10,0.7370224595069885,0.2629775404930115
BAC009S0166W0381,BAC009S0166W0381_ch8k,S0166,1,channel_8k,0.573545515537262,0.42645448446273804
BAC009S0166W0240,BAC009S0166W0240_noise10,S0166,1,noise_snr10,0.7258175015449524,0.2741824984550476
BAC009S0166W0240,BAC009S0166W0240_ch8k,S0166,1,channel_8k,0.5810667872428894,0.4189332127571106
BAC009S0166W0257,BAC009S0166W0257_noise10,S0166,1,noise_snr10,0.7529893517494202,0.24701064825057983
BAC009S0166W0257,BAC009S0166W0257_ch8k,S0166,1,channel_8k,0.6449810266494751,0.3550189733505249
BAC009S0166W0147,BAC009S0166W0147_noise10,S0166,1,noise_snr10,0.7448481917381287,0.25515180826187134
BAC009S0166W0147,BAC009S0166W0147_ch8k,S0166,1,channel_8k,0.6555734872817993,0.3444265127182007
BAC009S0166W0457,BAC009S0166W0457_noise10,S0166,1,noise_snr10,0.7304439544677734,0.26955604553222656
BAC009S0166W0457,BAC009S0166W0457_ch8k,S0166,1,channel_8k,0.5367295742034912,0.4632704257965088
BAC009S0166W0135,BAC009S0166W0135_noise10,S0166,1,noise_snr10,0.8115730285644531,0.18842697143554688
BAC009S0166W0135,BAC009S0166W0135_ch8k,S0166,1,channel_8k,0.5822330117225647,0.4177669882774353
BAC009S0166W0495,BAC009S0166W0495_noise10,S0166,1,noise_snr10,0.7156261801719666,0.28437381982803345
BAC009S0166W0495,BAC009S0166W0495_ch8k,S0166,1,channel_8k,0.6353881359100342,0.3646118640899658
BAC009S0166W0436,BAC009S0166W0436_noise10,S0166,1,noise_snr10,0.8028091788291931,0.19719082117080688
BAC009S0166W0436,BAC009S0166W0436_ch8k,S0166,1,channel_8k,0.6546542048454285,0.34534579515457153
BAC009S0166W0175,BAC009S0166W0175_noise10,S0166,1,noise_snr10,0.7849717140197754,0.2150282859802246
BAC009S0166W0175,BAC009S0166W0175_ch8k,S0166,1,channel_8k,0.5598384737968445,0.4401615262031555
BAC009S0248W0477,BAC009S0248W0477_noise10,S0248,0,noise_snr10,0.7113040685653687,0.28869593143463135
BAC009S0248W0477,BAC009S0248W0477_ch8k,S0248,0,channel_8k,0.49337273836135864,0.5066272616386414
BAC009S0248W0388,BAC009S0248W0388_noise10,S0248,0,noise_snr10,0.644487738609314,0.35551226139068604
BAC009S0248W0388,BAC009S0248W0388_ch8k,S0248,0,channel_8k,0.4402352571487427,0.5597647428512573
BAC009S0248W0404,BAC009S0248W0404_noise10,S0248,0,noise_snr10,0.6739899516105652,0.3260100483894348
BAC009S0248W0404,BAC009S0248W0404_ch8k,S0248,0,channel_8k,0.5090730786323547,0.49092692136764526
BAC009S0248W0352,BAC009S0248W0352_noise10,S0248,0,noise_snr10,0.7881168127059937,0.21188318729400635
BAC009S0248W0352,BAC009S0248W0352_ch8k,S0248,0,channel_8k,0.47966909408569336,0.5203309059143066
BAC009S0248W0126,BAC009S0248W0126_noise10,S0248,0,noise_snr10,0.7800721526145935,0.2199278473854065
BAC009S0248W0126,BAC009S0248W0126_ch8k,S0248,0,channel_8k,0.47298702597618103,0.527012974023819
BAC009S0248W0291,BAC009S0248W0291_noise10,S0248,0,noise_snr10,0.628627359867096,0.37137264013290405
BAC009S0248W0291,BAC009S0248W0291_ch8k,S0248,0,channel_8k,0.4593394696712494,0.5406605303287506
BAC009S0248W0414,BAC009S0248W0414_noise10,S0248,0,noise_snr10,0.7639322280883789,0.2360677719116211
BAC009S0248W0414,BAC009S0248W0414_ch8k,S0248,0,channel_8k,0.5113610029220581,0.4886389970779419
BAC009S0248W0138,BAC009S0248W0138_noise10,S0248,0,noise_snr10,0.7530977725982666,0.2469022274017334
BAC009S0248W0138,BAC009S0248W0138_ch8k,S0248,0,channel_8k,0.5451365113258362,0.4548634886741638
BAC009S0248W0122,BAC009S0248W0122_noise10,S0248,0,noise_snr10,0.6509795784950256,0.34902042150497437
BAC009S0248W0122,BAC009S0248W0122_ch8k,S0248,0,channel_8k,0.4542452096939087,0.5457547903060913
BAC009S0248W0370,BAC009S0248W0370_noise10,S0248,0,noise_snr10,0.718624472618103,0.281375527381897
BAC009S0248W0370,BAC009S0248W0370_ch8k,S0248,0,channel_8k,0.4018896222114563,0.5981103777885437
BAC009S0248W0306,BAC009S0248W0306_noise10,S0248,0,noise_snr10,0.6873573660850525,0.3126426339149475
BAC009S0248W0306,BAC009S0248W0306_ch8k,S0248,0,channel_8k,0.5742853283882141,0.4257146716117859
BAC009S0248W0351,BAC009S0248W0351_noise10,S0248,0,noise_snr10,0.6440039873123169,0.3559960126876831
BAC009S0248W0351,BAC009S0248W0351_ch8k,S0248,0,channel_8k,0.4530225098133087,0.5469774901866913
BAC009S0248W0161,BAC009S0248W0161_noise10,S0248,0,noise_snr10,0.6796789765357971,0.3203210234642029
BAC009S0248W0161,BAC009S0248W0161_ch8k,S0248,0,channel_8k,0.5382086038589478,0.46179139614105225
